6.0,7.5,3
6.0,8.5,3
6.0,9.5,3
6.0,10.5,3
6.0,11.5,3
6.0,12.5,3
6.0,13.5,3
6.0,14.5,3
6.0,15.5,3
6.0,16.5,3
6.0,17.5,3
6.0,18.5,3
6.0,19.5,3
6.0,20.5,3
6.0,21.5,3
7.0,20.5,3
7.0,19.5,3
7.0,18.5,3
7.0,17.5,3
7.0,16.5,3
7.0,15.5,3
7.0,14.5,3
7.0,13.5,3
7.0,12.5,3
7.0,11.5,3
7.0,10.5,3
7.0,9.5,3
7.0,8.5,3
7.0,7.5,3
8.0,6.5,3
8.0,7.5,3
8.0,8.5,3
8.0,9.5,3
8.0,10.5,3
8.0,11.5,3
8.0,12.5,3
8.0,13.5,3
8.0,14.5,3
8.0,15.5,3
8.0,16.5,3
8.0,17.5,3
8.0,18.5,3
8.0,19.5,3
9.0,18.5,3
9.0,17.5,3
9.0,16.5,3
9.0,15.5,3
9.0,14.5,3
9.0,13.5,3
9.0,12.5,3
9.0,11.5,3
9.0,10.5,3
9.0,9.5,3
9.0,8.5,3
9.0,7.5,3
9.0,6.5,3
9.0,5.5,3
9.0,5.5,6
10.0,5.0,6
11.0,4.5,6
12.0,4.0,6
13.0,3.5,6
14.0,3.0,6
15.0,2.5,6
16.0,2.0,6
17.0,1.5,6
18.0,1.0,6
19.0,0.5,3
19.0,1.5,3
19.0,2.5,3
19.0,3.5,3
19.0,4.5,3
19.0,5.5,3
19.0,6.5,3
19.0,7.5,3
19.0,8.5,3
19.0,9.5,3
19.0,10.5,3
19.0,11.5,3
19.0,12.5,3
19.0,13.5,3
19.0,14.5,3
19.0,15.5,3
19.0,16.5,3
19.0,17.5,3
20.0,17.5,3
20.0,16.5,3
20.0,15.5,3
20.0,14.5,3
20.0,13.5,3
20.0,12.5,3
20.0,11.5,3
20.0,10.5,3
20.0,9.5,3
20.0,8.5,3
20.0,7.5,3
20.0,6.5,3
20.0,5.5,3
20.0,4.5,3
20.0,3.5,3
20.0,2.5,3
20.0,1.5,3
20.0,0.5,3
21.0,0.5,3
21.0,1.5,3
21.0,2.5,3
21.0,3.5,3
21.0,4.5,3
21.0,5.5,3
21.0,6.5,3
21.0,7.5,3
21.0,8.5,3
21.0,9.5,3
21.0,10.5,3
21.0,11.5,3
21.0,12.5,3
21.0,13.5,3
21.0,14.5,3
21.0,15.5,3
21.0,16.5,3
21.0,17.5,3
22.0,17.5,3
22.0,16.5,3
22.0,15.5,3
22.0,14.5,3
22.0,13.5,3
22.0,12.5,3
22.0,11.5,3
22.0,10.5,3
22.0,9.5,3
22.0,8.5,3
22.0,7.5,3
22.0,6.5,3
22.0,5.5,3
22.0,4.5,3
22.0,3.5,3
22.0,2.5,3
22.0,1.5,3
22.0,0.5,3
23.0,0.5,3
23.0,1.5,3
23.0,2.5,3
23.0,3.5,3
23.0,4.5,3
23.0,5.5,3
23.0,6.5,3
23.0,7.5,3
23.0,8.5,3
23.0,9.5,3
23.0,10.5,3
23.0,11.5,3
23.0,12.5,3
23.0,13.5,3
23.0,14.5,3
23.0,15.5,3
23.0,16.5,3
23.0,17.5,3
23.0,17.5,6
24.0,15.0,6
25.0,12.5,3
25.0,13.5,3
25.0,14.5,3
25.0,15.5,3
25.0,16.5,3
25.0,17.5,3
25.0,18.5,3
25.0,19.5,3
25.0,20.5,3
25.0,21.5,3
25.0,22.5,3
25.0,23.5,3
25.0,24.5,3
25.0,25.5,3
25.0,26.5,3
25.0,27.5,3
25.0,28.5,3
25.0,29.5,3
25.0,30.5,3
25.0,31.5,3
25.0,32.5,3
25.0,33.5,3
26.0,33.5,3
26.0,32.5,3
26.0,31.5,3
26.0,30.5,3
26.0,29.5,3
26.0,28.5,3
26.0,27.5,3
26.0,26.5,3
26.0,25.5,3
26.0,24.5,3
26.0,23.5,3
26.0,22.5,3
26.0,21.5,3
26.0,20.5,3
26.0,19.5,3
26.0,18.5,3
26.0,17.5,3
26.0,16.5,3
26.0,15.5,3
26.0,14.5,3
26.0,13.5,3
26.0,12.5,3
27.0,12.5,3
27.0,13.5,3
27.0,14.5,3
27.0,15.5,3
27.0,16.5,3
27.0,17.5,3
27.0,18.5,3
27.0,19.5,3
27.0,20.5,3
27.0,21.5,3
27.0,22.5,3
27.0,23.5,3
27.0,24.5,3
27.0,25.5,3
27.0,26.5,3
27.0,27.5,3
27.0,28.5,3
27.0,29.5,3
27.0,30.5,3
27.0,31.5,3
27.0,32.5,3
27.0,33.5,3
